"first_of_month","pay_tag","system","sub_system","hero_id","hero_name","revenue","pearl_revenue","paymentdetail_last_pearl","total_revenue"
2025-04-01,大R,武将,武将,308385,武将,3470.766310485141,0.0,,3470.766310485141
2025-03-01,中R,武将,武将,1159,刚·丰臣秀吉UR,28.864124305842886,0.0,,28.864124305842886
2025-04-01,超R,武将,武将,1069,长尾景虎SR,326.0889555238351,0.0,,326.0889555238351
2025-04-01,,武将,武将,1070,明智光秀SR,1.2046184575748882,0.0,,1.2046184575748882
2025-04-01,大R,武将,武将,1073,浓姬SR,117.5541815314479,0.0,,117.5541815314479
2025-04-01,微R,武将,武将,1093,光·井伊直虎UR,143.43622573001397,0.0,,143.43622573001397
2025-03-01,小R,武将,武将,1121,谋·织田信长SSR+,65.29869670195004,0.0,,65.29869670195004
2025-03-01,非R,武将,武将,1087,光·北条氏康UR,0.0,0.0,,0.0
2025-04-01,超R,武将,武将,1314,S36UR-武田信繁,16844.636836123085,0.0,,16844.636836123085
2025-04-01,大R,武将,武将,1272,S23岛津义弘UR,1493.0711741590483,0.0,,1493.0711741590483
2025-03-01,超R,武将,武将,1132,援·阿市SSR+,283.22150571716446,0.0,,283.22150571716446
2025-03-01,微R,武将,武将,1304,S33前田庆次UR,0.0,0.0,,0.0
2025-04-01,小R,武将,武将,348081,武将,57.29140689692564,0.0,,57.29140689692564
2025-03-01,小R,武将,武将,1162,柔·浓姬UR,0.0,0.0,,0.0
2025-04-01,大R,武将,武将,1203,S11陶晴贤UR,48.56335544147084,0.0,,48.56335544147084
2025-03-01,超R,武将,武将,1184,S7山本勘助SSR+,0.0,0.0,,0.0
2025-03-01,非R,武将,武将,1175,S5佐竹义重SSR+,0.0,0.0,,0.0
2025-04-01,小R,武将,武将,1298,联动-柴田胜家UR,0.9032007816247656,0.0,,0.9032007816247656
2025-04-01,大R,武将,武将,1190,S8妙玖SSR+,3.1936992449070365,0.0,,3.1936992449070365
2025-04-01,非R,国宝,国宝升星,,,262.9147076923077,11.287601719384616,,274.2023094116923
2025-03-01,小R,金币,金币,,,0.0,0.0,3893.9498525230974,0.0
2025-04-01,超R,浮世绘,浮世绘升级,,,405.69046015037594,153.14087061886715,,558.8313307692431
2025-03-01,超R,武将,"2024春日祭",,"2024春日祭",23574.85245,7529.253580192801,17568.258353783203,31104.1060301928
2025-04-01,大R,神威,神砂,,,268.7402433869825,1181.6827923058008,,1450.4230356927833
2025-03-01,大R,神武,神武突破,,,586.1475,572.2402852971429,,1158.387785297143
2025-04-01,超R,武将,深海秘宝,,深海秘宝,0.0,5.94066170368,53.46595533312,5.94066170368
2025-04-01,小R,战旗,战旗升级,,,11.493088235294119,0.0,,11.493088235294119
2025-04-01,大R,浮世绘,浮世绘,,,1507.704154203873,0.0,,1507.704154203873
2025-03-01,中R,活动,活动,,,8565.7889889547,0.0,,8565.7889889547
2025-03-01,微R,武将,武将,1148,坚·立花宗茂SSR,76.01709702972622,0.0,,76.01709702972622
2025-03-01,微R,武将,武将,1031,阿江R,77.20123769886932,0.0,,77.20123769886932
2025-04-01,大R,武将,武将,1310,"2025元旦足利义辉",6790.131630113325,0.0,,6790.131630113325
2025-03-01,非R,武将,武将,1019,宁宁SSR,0.0,0.0,,0.0
2025-04-01,中R,武将,武将,1148,坚·立花宗茂SSR,208.10306793752596,0.0,,208.10306793752596
2025-03-01,微R,武将,武将,1151,德寿丸SR,23.421958294561854,0.0,,23.421958294561854
2025-03-01,中R,战旗,战旗,,,25772.816608446272,0.0,,25772.816608446272
2025-03-01,非R,武将,武将,1136,援·毛利元就SSR,0.0,0.0,,0.0
2025-04-01,非R,武将,武将,1215,S14濑名姬SSR+,0.014016866748467567,0.0,,0.014016866748467567
2025-03-01,微R,武将,武将,1146,谋·今川义元SSR,63.36850104666297,0.0,,63.36850104666297
2025-04-01,大R,武将,武将,1016,真田幸村SSR+,393.1946261722743,0.0,,393.1946261722743
2025-04-01,超R,武将,武将,,武将,70615.72686060263,0.0,,70615.72686060263
2025-03-01,大R,武将,武将,1120,援·阿初SSR,400.00792892295044,0.0,,400.00792892295044
2025-04-01,大R,武将,武将,1031,阿江R,627.2611896280827,0.0,,627.2611896280827
2025-03-01,小R,武将,武将,1017,真田昌幸SR,49.64974229252152,0.0,,49.64974229252152
2025-03-01,微R,武将,武将,1074,毛利元就SR,17.220459820639572,0.0,,17.220459820639572
2025-04-01,微R,武将,武将,348052,武将,322.90438595924576,0.0,,322.90438595924576
2025-04-01,超R,浮世绘,浮世绘,,,2505.8283230219563,0.0,,2505.8283230219563
2025-03-01,小R,武将,武将,1149,勇·森兰丸SSR,41.440815842516145,0.0,,41.440815842516145
2025-04-01,非R,武将,武将,1165,柔·井伊直虎UR,52.60298628765749,0.0,,52.60298628765749
2025-03-01,小R,武将,武将,1144,援·阿国SSR+,30.459047395722504,0.0,,30.459047395722504
2025-04-01,大R,武将,武将,1311,S35山本勘助UR,1432.3160249998173,0.0,,1432.3160249998173
2025-03-01,中R,武将,武将,1137,谋·石田三成SSR,672.1202406655702,0.0,,672.1202406655702
