group_col,month,count,mean,std,min,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,max
月卡,2024-08-01,31.0,0.1765407347222984,0.06520805524009829,0.0736196319018405,0.0736196319018405,0.11659192825112108,0.12299465240641712,0.13609467455621305,0.15568862275449102,0.1608695652173913,0.17647058823529416,0.19480519480519481,0.21428571428571427,0.2751677852348993,0.33116883116883117,0.33116883116883117
月卡,2024-09-01,30.0,0.1678808978300675,0.07559432054134006,0.06280193236714976,0.06280193236714976,0.10773565573770492,0.11300211416490487,0.12062886875392483,0.13060135029046946,0.13594857184600773,0.15174603174603177,0.18113661268720319,0.2365037359900375,0.3002469135802469,0.3228346456692913,0.3228346456692913
月卡,2024-10-01,31.0,0.17191125397400228,0.05979305869522357,0.07614213197969544,0.07614213197969544,0.11510791366906475,0.12781954887218044,0.1360544217687075,0.14492753623188406,0.1588235294117647,0.1853932584269663,0.19480519480519481,0.2074074074074074,0.24299065420560748,0.3333333333333333,0.3333333333333333
月卡,2024-11-01,30.0,0.16455382089353598,0.048167501827049604,0.06321839080459771,0.06321839080459771,0.11173103134938665,0.12206451612903226,0.13751499400239905,0.1447238928376162,0.17001310615989515,0.1826541274817137,0.19325098460436804,0.20751724137931035,0.21891096394407653,0.275,0.275
月卡,2024-12-01,31.0,0.1694592780905843,0.05520530086844414,0.07333333333333333,0.07333333333333333,0.11029411764705882,0.12403100775193798,0.144,0.1487603305785124,0.15151515151515152,0.17037037037037037,0.1875,0.23404255319148937,0.25892857142857145,0.2818181818181818,0.2818181818181818
月卡,2025-01-01,31.0,0.17175442668967975,0.05405917196307259,0.09154929577464789,0.09154929577464789,0.1044776119402985,0.11602209944751381,0.13333333333333333,0.16071428571428573,0.1796875,0.18750000000000003,0.1958762886597938,0.21649484536082475,0.23148148148148148,0.3211009174311927,0.3211009174311927
月卡,2025-02-01,28.0,0.1659681891736922,0.05422379787793845,0.07608695652173914,0.07608695652173914,0.11573076923076923,0.125,0.1339784946236559,0.14786628733997156,0.15307085263338482,0.16589577551649712,0.18093103448275863,0.19853521126760565,0.2460748095128146,0.2962962962962963,0.2962962962962963
月卡,2025-03-01,31.0,0.16459789173728379,0.05535938341160305,0.06818181818181818,0.06818181818181818,0.08661417322834646,0.1322314049586777,0.14736842105263157,0.15384615384615385,0.1619047619047619,0.1636363636363637,0.19090909090909092,0.2,0.23275862068965517,0.3181818181818182,0.3181818181818182
月卡,2025-04-01,30.0,0.21743168652939507,0.18612168349463554,0.013392857142857142,0.013392857142857142,0.06547495990019604,0.10516795865633077,0.13108359133126937,0.1653719552337064,0.17544459644322846,0.17957658779576588,0.22510991695163649,0.2501017146178437,0.44899195292896077,0.8700564971751412,0.8700564971751412
月度周储钱罐,2024-07-01,24.0,0.2136480231303882,0.18689435898649584,0.024691358024691357,0.024691358024691357,0.05155523255813954,0.10557324840764334,0.1319151575291491,0.14316386121607697,0.15642715886618325,0.16330308529945556,0.17323537305421352,0.24103285284581435,0.5199999999999999,0.7037037037037037,0.7037037037037037
月度周储钱罐,2024-08-01,31.0,0.16907208193394216,0.1652338548479495,0.021739130434782608,0.021739130434782608,0.05389221556886228,0.07317073170731707,0.08441558441558442,0.08875739644970414,0.0958904109589041,0.1379310344827587,0.1656441717791411,0.19014084507042253,0.5233160621761658,0.6511627906976745,0.6511627906976745
月度周储钱罐,2024-09-01,30.0,0.17087269177128553,0.15915981783933805,0.033816425120772944,0.033816425120772944,0.045760508944146114,0.0679417122040073,0.08473320158102768,0.10254347702940012,0.11414302258251302,0.12748171368861025,0.15187499999999998,0.1974725062704997,0.49901322380284513,0.5586592178770949,0.5586592178770949
月度周储钱罐,2024-10-01,31.0,0.2322670752202586,0.17908456426611477,0.05063291139240506,0.05063291139240506,0.08163265306122448,0.10126582278481013,0.1168831168831169,0.14285714285714285,0.18705035971223022,0.19892473118279572,0.23129251700680273,0.3181818181818182,0.5470588235294118,0.6962025316455697,0.6962025316455697
月度周储钱罐,2024-11-01,30.0,0.1689175852960954,0.15792422073322732,0.05172413793103448,0.05172413793103448,0.056984126984126984,0.06635850025680534,0.06896551724137931,0.08999733262203255,0.10248577558063612,0.1305,0.17041690140845067,0.18711943793911018,0.5056810035842294,0.5821917808219178,0.5821917808219178
月度周储钱罐,2024-12-01,31.0,0.17017223618928035,0.1621748113280776,0.013157894736842105,0.013157894736842105,0.049586776859504134,0.0625,0.078125,0.09848484848484848,0.109375,0.1272727272727273,0.16666666666666666,0.19,0.5,0.5466666666666666,0.5466666666666666
月度周储钱罐,2025-01-01,31.0,0.16070132546481455,0.16277783441199448,0.03007518796992481,0.03007518796992481,0.04854368932038835,0.05405405405405406,0.06422018348623854,0.09022556390977443,0.1141552511415525,0.12745098039215685,0.15463917525773196,0.18248175182481752,0.5,0.6408450704225352,0.6408450704225352
