act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250214-20250218-5,大R,兑换奖励内容,柔·玉子UR(召唤卡),,1,8.0,2
20241127-20241201-5,大R,直购礼包礼包聚合2,大R,,20,30423.226000000053,202
20250328-20250331-4,微R,直购礼包礼包聚合2,微R,,10,616.2150400000002,14
20250311-20250314-4,大R,直购礼包礼包聚合1,2025情人节-节日礼包3,,7,577.8663,18
20250311-20250314-4,微R,直购礼包礼包聚合1,2025情人节-巧克力礼包1,,1,33.8663,1
20250510-20250513-4,大R,直购礼包礼包聚合1,2025情人节-节日礼包1,,5,145.34528,9
20250203-20250206-4,非R,直购礼包礼包聚合1,2024情人节信物礼包2,,1,600.0,5
20250214-20250218-5,非R,直购礼包礼包聚合1,2025情人节-节日礼包9,,2,1980.0,3
20250214-20250218-5,微R,直购礼包礼包聚合1,2025情人节-节日礼包9,,1,1229.6072,2
20250514-20250517-4,微R,抽奖每日渠道,玩家付费,2025-05-17,259,1203.0,560
20250514-20250517-4,超R,抽奖每日渠道,引导奖励,2025-05-14,8,624.0,78
20250325-20250328-4,超R,抽奖每日渠道,引导奖励,2025-03-25,10,956.0,132
20250121-20250124-4,非R,抽奖每日渠道,购买,2025-01-24,3,614.0,20
20250104-20250107-4,小R,抽奖每日渠道,购买,2025-01-07,2,246.0,4
20241127-20241201-5,大R,抽奖每日渠道,引导奖励,2024-12-01,22,754.0,122
20250514-20250517-4,非R,抽奖每日渠道,玩家付费,2025-05-15,1267,4971.0,2026
20250121-20250124-4,中R,抽奖每日渠道,购买,2025-01-23,18,668.0,88
20250325-20250328-4,超R,抽奖每日渠道,购买,2025-03-27,11,4590.0,105
20241219-20241222-4,未活跃,抽奖每日渠道,引导奖励,2024-12-20,5,206.0,29
20250104-20250107-4,非R,抽奖每日渠道,引导奖励,2025-01-04,122,2710.0,310
20250223-20250226-4,大R,抽奖每日渠道,玩家付费,2025-02-24,34,155.0,96
20241219-20241222-4,中R,抽奖每日渠道,购买,2024-12-21,19,1148.0,99
20250203-20250206-4,大R,抽奖每日渠道,玩家付费,2025-02-04,34,149.0,92
20250203-20250206-4,微R,抽奖每日渠道,玩家付费,2025-02-04,269,912.0,542
20250514-20250517-4,超R,抽奖渠道,玩家付费,,17,344.0,144
20250514-20250517-4,超R,抽奖渠道,购买,,9,2890.0,111
20250428-20250501-4,小R,pprid_reward_type,160_1,2024信物,85,170.0,85
20241127-20241201-5,未活跃,pprid_reward_type,160_1,抽奖自选包,89,89.0,89
20250325-20250328-4,大R,pprid_reward_type,160_3,2024信物,8,48.0,8
20250514-20250517-4,超R,pprid_reward_type,160_2,2024信物,6,24.0,6
20250514-20250517-4,中R,pprid_reward_type,160_3,试金石,2,40.0,2
20250121-20250124-4,微R,pprid_reward_type,160_1,抽奖自选包,207,207.0,207
20250104-20250107-4,小R,pprid_reward_type,164_1,抽奖自选包,30,150.0,30
20241219-20241222-4,微R,pprid_reward_type,160_1,抽奖自选包,214,214.0,214
20241219-20241222-4,非R,pprid_reward_type,164_1,抽奖自选包,55,275.0,55
20250325-20250328-4,微R,pprid_reward_type,164_1,UR招募令,1,1.0,1
20250223-20250226-4,大R,pprid_reward_type,160_3,2024信物,3,18.0,3
20241127-20241201-5,微R,pprid_reward_type,164_3,2024信物,1,10.0,1
20250514-20250517-4,超R,pprid_reward_type,160_3,2024信物,1,6.0,1
20250223-20250226-4,微R,pprid_reward_type,160_1,鉴宝令,1,1.0,1
20250203-20250206-4,大R,pprid_reward_type,164_3,暗·织田信长UR(碎片),2,8.0,2
20250223-20250226-4,大R,pprid_reward_type,164_1,UR招募令,1,1.0,1
20250214-20250218-5,小R,兑换信物金币消耗,小R,,21,41.0,28
20250104-20250107-4,中R,兑换信物金币消耗,中R,,86,824500.0,1032
20250510-20250513-4,大R,兑换奖励内容,5阶攻击符文自选箱,,1,1.0,1
20250510-20250513-4,超R,兑换奖励内容,5阶防御符文自选箱,,1,1.0,1
20250416-20250419-4,大R,兑换奖励内容,联动-柴田胜家UR(召唤卡),,1,4.0,1
20250214-20250218-5,微R,兑换奖励内容,柔·玉子UR(召唤卡),,1,4.0,1
20250121-20250124-4,小R,直购礼包礼包聚合2,小R,,6,1119.0324,30
20250502-20250505-4,大R,直购礼包礼包聚合1,2025情人节-节日礼包2,,5,291.7326,9
20241127-20241201-5,非R,直购礼包礼包聚合1,2024情人节信物礼包1,,5,1146.1282,35
20250311-20250314-4,小R,直购礼包礼包聚合1,2025情人节稀有礼包4.99-300金币,,7,430.0896,7
20250328-20250331-4,微R,直购礼包礼包聚合1,2025情人节稀有礼包4.99-300金币,,2,125.0448,2
20250510-20250513-4,超R,直购礼包礼包聚合1,2025情人节-巧克力礼包1,,7,3145.0586,97
20250328-20250331-4,超R,直购礼包礼包聚合1,2025情人节-节日礼包10,,2,1844.4107999999999,3
20250214-20250218-5,中R,直购礼包礼包聚合1,2025情人节-节日礼包6,,5,980.1792,8
20241219-20241222-4,中R,直购礼包礼包聚合1,2024情人节信物礼包3,,11,10542.054,17
20250502-20250505-4,小R,直购礼包礼包聚合1,2025大名赠礼-节日礼包13,,2,12.33632,2
20250104-20250107-4,非R,直购礼包礼包聚合1,2024情人节信物礼包1,,5,1035.1978000000001,32
20250104-20250107-4,超R,直购礼包礼包聚合1,2024情人节信物礼包2,,5,3010.0896000000002,25
20250104-20250107-4,小R,直购礼包礼包聚合1,2024情人节信物礼包3,,3,4918.428800000001,8
20250428-20250501-4,非R,直购礼包礼包聚合1,2024情人节信物礼包1,,2,585.3315,18
20250325-20250328-4,超R,直购礼包礼包聚合1,2024情人节信物礼包3,,10,57465.85919999996,92
20250502-20250505-4,未活跃,直购礼包礼包聚合1,2025情人节稀有礼包4.99-300金币,,1,62.5224,1
20250409-20250411-3,大R,直购礼包礼包聚合1,2025情人节-巧克力礼包4,,2,300.0,5
20241127-20241201-5,非R,抽奖每日渠道,引导奖励,2024-11-29,154,2597.0,315
20250203-20250206-4,小R,抽奖每日渠道,玩家付费,2025-02-05,150,550.0,320
20250223-20250226-4,非R,抽奖每日渠道,玩家付费,2025-02-23,1400,3544.0,2046
20250514-20250517-4,小R,抽奖每日渠道,引导奖励,2025-05-14,18,836.0,104
20250214-20250218-5,小R,抽奖每日渠道,玩家付费,2025-02-14,1,1.0,1
20241219-20241222-4,大R,抽奖每日渠道,引导奖励,2024-12-19,13,1084.0,137
20250325-20250328-4,未活跃,抽奖每日渠道,购买,2025-03-27,1,240.0,3
20241219-20241222-4,大R,抽奖每日渠道,引导奖励,2024-12-22,27,867.0,151
20241127-20241201-5,小R,抽奖每日渠道,玩家付费,2024-11-27,149,484.0,294
20250104-20250107-4,微R,抽奖每日渠道,引导奖励,2025-01-05,41,812.0,89
20250203-20250206-4,小R,抽奖渠道,引导奖励,,85,3181.0,433
20250121-20250124-4,微R,抽奖渠道,引导奖励,,133,3833.0,483
20250223-20250226-4,小R,pprid_reward_type,160_1,2024信物,84,168.0,84
20250428-20250501-4,中R,pprid_reward_type,160_2,2024信物,24,96.0,24
20250428-20250501-4,大R,pprid_reward_type,164_1,2024信物,26,52.0,26
20250514-20250517-4,大R,pprid_reward_type,164_3,2024信物,5,40.0,5
20250121-20250124-4,非R,pprid_reward_type,164_1,阵石随机包（蓝）,4,4.0,4
20250104-20250107-4,中R,pprid_reward_type,160_2,2024信物,30,60.0,30
20250104-20250107-4,小R,pprid_reward_type,164_3,2024信物,3,30.0,3
20241219-20241222-4,非R,pprid_reward_type,160_1,抽奖自选包,871,871.0,871
20250325-20250328-4,中R,pprid_reward_type,164_3,2024信物,15,120.0,15
20250325-20250328-4,超R,pprid_reward_type,164_1,2024信物,7,14.0,7
20250203-20250206-4,中R,兑换信物金币消耗,中R,,87,716500.0,897
20250409-20250411-3,大R,兑换信物金币消耗,大R,,8,32.0,14
20250510-20250513-4,大R,兑换奖励内容,S31三之丸殿SSR+(召唤卡),,1,8.0,4
20250214-20250218-5,中R,兑换奖励内容,柔·玉子UR(召唤卡),,3,20.0,5
20250502-20250505-4,大R,兑换奖励内容,红色策略装备随机箱,,5,12.0,12
20250502-20250505-4,大R,直购礼包礼包聚合1,2025情人节史诗礼包19.99-600金币,,12,1465.2240000000002,12
20250223-20250226-4,超R,直购礼包礼包聚合1,2024情人节稀有礼包4.99-320金币(新,,8,265.3315,8
20250328-20250331-4,小R,直购礼包礼包聚合1,2025情人节史诗礼包19.99-600金币,,4,495.13439999999997,4
20250514-20250517-4,大R,直购礼包礼包聚合1,2024情人节史诗礼包19.99-600金币,,8,980.1792,8
20250416-20250419-4,超R,直购礼包礼包聚合1,2025情人节-巧克力礼包2,,8,6640.358399999998,55
20250311-20250314-4,非R,直购礼包礼包聚合1,2025情人节-巧克力礼包1,,1,64.0,2
