date,act_tag,role_id,vip_level,level,pay_tag,is_pay,money,web_money,money_rmb,webmoney_rmb,core_add,core_cost,core_end,sincetimes_add,sincetimes_cost,sincetimes_end,act_rmb,bp_rmb,item_cost,item_add,summon_count,summon_21602,summon_21603,item_tag,summon_wau,summon21602_wau,summon21603_wau,actrmb_wau,bprmb_wau,dau,wau
2025-01-13,20250110-20250113-4,14504104995508,11,127,中R,0,,,,,1665.0,2370.0,1328,,,3.0,,,10.0,10.0,5.0,5.0,,"[1,20)",,,,,,1,
2025-01-21,20250121-20250124-4,14594298944871,11,125,小R,0,,,,,1470.0,50.0,96045,,5.0,0.0,,,,,,,,"[1,20)",1.0,,1.0,,,1,1.0
2025-01-22,20250121-20250124-4,14594298944871,11,125,小R,0,,,,,1770.0,150.0,97665,,,0.0,,,2.0,2.0,1.0,,1.0,"[1,20)",,,,,,1,
2025-01-23,20250121-20250124-4,14594298944871,11,125,小R,0,,,,,1860.0,325.0,99200,,,0.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-24,20250121-20250124-4,14594298944871,11,125,小R,0,,,,,3370.0,75.0,102495,,,0.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-12,20250110-20250113-4,14598594244326,0,109,非R,0,,,,,860.0,60.0,19117,,,21.0,,,,,,,,[0],,,,,,1,1.0
2025-01-13,20250110-20250113-4,14598594244326,0,109,非R,0,,,,,,,19117,,,21.0,,,,,,,,[0],,,,,,1,
2025-02-23,20250223-20250226-4,14598594310185,15,128,中R,0,,,,,1405.0,2237.0,575,,,5.0,,,2.0,2.0,1.0,1.0,,"[1,20)",1.0,1.0,,,,1,1.0
2025-02-24,20250223-20250226-4,14598594310185,15,128,中R,0,,,,,1105.0,250.0,1430,,,5.0,,,4.0,4.0,2.0,2.0,,"[1,20)",,,,,,1,
2025-02-25,20250223-20250226-4,14598594310185,15,128,中R,0,,,,,1250.0,150.0,2530,,,5.0,,,,,,,,"[1,20)",,,,,,1,
2025-02-26,20250223-20250226-4,14598594310185,15,128,中R,0,,,,,1525.0,4000.0,55,,,5.0,,,,,,,,"[1,20)",,,,,,1,
2025-02-23,20250223-20250226-4,14658723788741,0,118,非R,0,,,,,1105.0,50.0,10634,,,1.0,,,,,,,,[0],,,,,,1,1.0
2025-02-24,20250223-20250226-4,14658723788741,0,118,非R,0,,,,,605.0,200.0,11039,,,1.0,,,,,,,,[0],,,,,,1,
2025-02-25,20250223-20250226-4,14658723788741,0,118,非R,0,,,,,520.0,275.0,11284,,,1.0,,,,,,,,[0],,,,,,1,
2025-02-26,20250223-20250226-4,14658723788741,0,118,非R,0,,,,,800.0,2125.0,9959,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-10,20250110-20250113-4,14671608489750,4,112,微R,0,,,,,220.0,,36477,,,5.0,,,,,,,,"[1,20)",1.0,1.0,,,,1,1.0
2025-01-11,20250110-20250113-4,14671608489750,4,112,微R,0,,,,,510.0,1000.0,35987,,,5.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-12,20250110-20250113-4,14671608489750,4,112,微R,0,,,,,720.0,1510.0,35197,,,5.0,,,4.0,5.0,2.0,2.0,,"[1,20)",,,,,,1,
2025-01-13,20250110-20250113-4,14671608489750,4,112,微R,0,,,,,760.0,2000.0,33957,,,5.0,,,6.0,5.0,3.0,3.0,,"[1,20)",,,,,,1,
2025-02-23,20250223-20250226-4,14710263175370,15,126,中R,0,,,,,1355.0,100.0,17536,,,29.0,,,,,,,,[0],,,,,,1,1.0
2025-02-24,20250223-20250226-4,14710263175370,15,126,中R,0,,,,,1155.0,10.0,18681,,,29.0,,,,,,,,[0],,,,,,1,
2025-02-25,20250223-20250226-4,14710263175370,15,126,中R,0,,,,,1625.0,325.0,19981,,,29.0,,,,,,,,[0],,,,,,1,
2025-02-26,20250223-20250226-4,14710263175370,15,126,中R,0,,,,,1055.0,25.0,21011,,,29.0,,,,,,,,[0],,,,,,1,
