month,channel,reason,core_cost
2024-01-01,800301,255,10900.0
2024-01-01,800301,187,4200.0
2024-01-01,800301,190,2300.0
2024-01-01,800301,224,2520.0
2024-01-01,800301,109,400.0
2024-01-01,800301,63,5800.0
2024-01-01,800301,223,1920.0
2024-01-01,800301,202,4134.0
2024-01-01,800303,79,95680.0
2024-01-01,800303,107,3000.0
2024-01-01,800303,122,9710.0
2024-01-01,800303,109,1800.0
2024-01-01,800303,224,6548.0
2024-01-01,800303,190,8200.0
2024-01-01,800303,203,10.0
2024-01-01,800303,247,2000.0
2024-01-01,800303,187,22200.0
2024-01-01,800303,186,660.0
2024-01-01,800303,74,100.0
2024-01-01,800303,221,79800.0
2024-01-01,800303,144,12400.0
2024-01-01,800303,216,8600.0
2024-01-01,800303,67,600.0
2024-01-01,800303,255,16200.0
2024-01-01,800303,64,1300.0
2024-01-01,800303,63,8500.0
2024-01-01,800303,44,49550.0
2024-01-01,800303,154,1670.0
2024-01-01,800303,202,47038.0
2024-01-01,800304,63,455400.0
2024-01-01,800304,247,104200.0
2024-01-01,800304,203,6340.0
2024-01-01,800304,107,186900.0
2024-01-01,800304,224,184007.0
2024-01-01,800304,216,211650.0
2024-01-01,800304,187,1035200.0
2024-01-01,800304,44,469100.0
2024-01-01,800304,22,400.0
2024-01-01,800304,67,15600.0
2024-01-01,800304,154,98380.0
2024-01-01,800304,223,83470.0
2024-01-01,800304,202,399811.0
2024-01-01,800304,221,1770000.0
2024-01-01,800304,64,60400.0
2024-01-01,800304,20,3000.0
2024-01-01,800304,255,456100.0
2024-01-01,800304,161,3100.0
2024-01-01,800304,144,373500.0
2024-01-01,800304,74,35600.0
2024-01-01,800304,79,1946650.0
2024-01-01,800304,26,5800.0
2024-01-01,800304,190,216750.0
2024-01-01,800304,122,577200.0
2024-01-01,800304,186,11700.0
2024-01-01,800304,109,63500.0
2024-01-01,800306,154,65970.0
2024-01-01,800306,161,2000.0
2024-01-01,800306,107,178800.0
2024-01-01,800306,202,527443.0
2024-01-01,800306,122,810630.0
2024-01-01,800306,67,11400.0
2024-01-01,800306,64,37600.0
2024-01-01,800306,186,11760.0
2024-01-01,800306,63,424200.0
2024-01-01,800306,22,400.0
2024-01-01,800306,223,58887.0
2024-01-01,800306,44,526100.0
2024-01-01,800306,203,420.0
2024-01-01,800306,216,226150.0
2024-01-01,800306,255,464600.0
2024-01-01,800306,247,71600.0
2024-01-01,800306,221,1769400.0
2024-01-01,800306,187,1171800.0
2024-01-01,800306,144,415700.0
2024-01-01,800306,20,5100.0
2024-01-01,800306,74,16500.0
2024-01-01,800306,190,192400.0
2024-01-01,800306,109,73300.0
2024-01-01,800306,26,2400.0
2024-01-01,800306,224,300377.0
2024-01-01,800306,79,2199250.0
